GeneID	GeneName
11279	KLF8
11279	KLF8
11279	KLF8
11279	KLF8
4297	KMT2A
387893	KMT5A
3838	KPNA2
16647	Kpna2
3845	KRAS
3845	KRAS
3845	KRAS
16653	Kras
3872	KRT17
16667	Krt17
3875	KRT18
3855	KRT7
3856	KRT8
3897	L1CAM
3918	LAMC2
16782	Lamc2
3927	LASP1
3934	LCN2
3934	LCN2
3934	LCN2
3934	LCN2
16819	Lcn2
16842	Lef1
51176	LEF1
3952	LEP
3952	LEP
3956	LGALS1
3956	LGALS1
3956	LGALS1
3956	LGALS1
3956	LGALS1
3958	LGALS3
3965	LGALS9
55366	LGR4
107515	Lgr4
8549	LGR5
9355	LHX2
16870	Lhx2
3976	LIF
10859	LILRB1
79727	LIN28A
83557	Lin28a
140828	LINC00261
140828	LINC00261
101927574	LINC01186
642477	LINC01296
100885779	LINC-ROR
100885779	LINC-ROR
4000	LMNA
4001	LMNB1
4015	LOX
24914	Lox
4017	LOXL2
116844	LRG1
26018	LRIG1
9208	LRRFIP1
56413	LTB4R2
4052	LTBP1
4067	LYN
17096	Lyn
346389	MACC1
346389	MACC1
10459	MAD2L2
10459	MAD2L2
84944	MAEL
51438	MAGEC2
9863	MAGI2
72289	Malat1
378938	MALAT1
378938	MALAT1
378938	MALAT1
378938	MALAT1
378938	MALAT1
378938	MALAT1
378938	MALAT1
378938	MALAT1
170851	Map2k1
58960	Map2k2
26407	Map3k4
6885	MAP3K7
9448	MAP4K4
5594	MAPK1
5594	MAPK1
5594	MAPK1
5594	MAPK1
26413	Mapk1
116590	Mapk1
360144	mapk1
1432	MAPK14
5595	MAPK3
5595	MAPK3
5595	MAPK3
5595	MAPK3
50689	Mapk3
50689	Mapk3
50689	Mapk3
5598	MAPK7
5598	MAPK7
5598	MAPK7
5598	MAPK7
23939	Mapk7
5599	MAPK8
83742	MARVELD1
53615	MBD3
4162	MCAM
4162	MCAM
4162	MCAM
4162	MCAM
4170	MCL1
4170	MCL1
348262	MCRIP1
4193	MDM2
4194	MDM4
80306	MED28
4205	MEF2A
4209	MEF2D
55384	MEG3
4233	MET
4233	MET
4233	MET
4233	MET
4233	MET
4233	MET
4233	MET
4233	MET
4233	MET
11343	MGLL
100507436	MICA
9645	MICAL2
79778	MICALL2
406892	MIR100
406893	MIR101-1
406893	MIR101-1
406893	MIR101-1
406894	MIR101-2
406899	MIR106A
406899	MIR106A
406900	MIR106B
406900	MIR106B
406900	MIR106B
406902	MIR10A
406902	MIR10A
406902	MIR10A
406903	MIR10B
406903	MIR10B
406903	MIR10B
100302213	MIR1181
406906	MIR122
100302242	MIR1236
100302242	MIR1236
406907	MIR124-1
406907	MIR124-1
406907	MIR124-1
406907	MIR124-1
406908	MIR124-2
406908	MIR124-2
100130155	MIR124-2HG
406909	MIR124-3
406909	MIR124-3
387236	Mir125b-1
100302203	MIR1271
100302203	MIR1271
406915	MIR128-1
387148	Mir129
387148	Mir129
406919	MIR130A
406920	MIR130B
406920	MIR130B
406920	MIR130B
406920	MIR130B
406921	MIR132
406924	MIR134
406925	MIR135A1
442891	MIR135B
406927	MIR136
406933	MIR141
406933	MIR141
406935	MIR143
406935	MIR143
406936	MIR144
406937	MIR145
406937	MIR145
406937	MIR145
406937	MIR145
406937	MIR145
406938	MIR146A
574447	MIR146B
406940	MIR148A
406940	MIR148A
406940	MIR148A
406940	MIR148A
406942	MIR150
387170	Mir152
406944	MIR153-1
406944	MIR153-1
